rank_page,word,count_sum,count_mean,rank_page_count,article_count,current_page_count,node_size,first_appear
1,身心,9,9.0,1,1,1,10.0,1
1,輔料,9,9.0,1,1,1,10.0,1
1,輔菌,7,7.0,1,1,1,10.0,1
1,迷思,5,5.0,2,2,1,10.0,1
1,過敏,9,9.0,4,4,1,10.0,1
1,過敏性鼻炎,7,7.0,3,3,1,10.0,1
1,過敏益生菌,4,4.0,1,1,1,10.0,1
1,選擇,12,12.0,2,2,1,10.0,1
1,配方時代,7,7.0,1,1,1,10.0,1
1,酸奶,11,11.0,1,1,1,10.0,1
1,醫學,5,5.0,2,2,1,10.0,1
1,醫師,4,4.0,2,2,1,10.0,1
1,重要性,5,5.0,1,1,1,10.0,1
1,防護力,5,5.0,1,1,1,10.0,1
1,陳代謝,4,4.0,1,1,1,10.0,1
1,雷特氏B菌,10,10.0,1,1,1,10.0,1
1,順暢,13,13.0,1,1,1,10.0,1
1,飲食,7,7.0,3,3,1,10.0,1
1,體內,5,5.0,4,4,1,10.0,1
1,體溫,7,7.0,1,1,1,10.0,1
1,體質,41,10.25,6,10,4,16.666666666666668,1
1,魚油,6,6.0,1,1,1,10.0,1
1,鼠李糖乳桿菌,6,6.0,3,3,1,10.0,1
1,龍根菌,15,15.0,2,2,1,10.0,1
2,BB,9,9.0,1,1,1,10.0,2
2,Bifidobacterium,9,4.5,2,3,2,15.0,1
2,Enterococcus,6,6.0,2,2,1,10.0,1
2,ISAPP,6,6.0,1,1,1,10.0,2
2,LGG,12,6.0,3,6,2,20.0,1
2,Lactobacillus,24,12.0,7,13,2,18.571428571428573,1
2,NCFM,4,4.0,2,2,1,10.0,1
2,Nutr,7,7.0,1,1,1,10.0,2
2,USANA,41,41.0,1,1,1,10.0,2
2,acidophilus,4,4.0,2,2,1,10.0,2
2,gut,6,6.0,2,2,1,10.0,2
2,lactis,4,4.0,2,2,1,10.0,1
2,microbiota,4,4.0,1,1,1,10.0,2
2,rhamnosus,5,5.0,3,3,1,10.0,1
2,sol,29,29.0,1,1,1,10.0,2
2,中醫,7,7.0,1,1,1,10.0,2
2,乳桿菌,4,4.0,2,2,1,10.0,2
2,乳酸菌,29,29.0,9,11,1,12.222222222222223,1
2,人類,5,5.0,2,2,1,10.0,2
2,人體,8,8.0,6,7,1,11.666666666666668,1
2,今日,9,9.0,1,1,1,10.0,2
2,來源,20,10.0,3,4,2,13.333333333333332,2
2,依賴,7,7.0,2,2,1,10.0,1
2,保持,10,10.0,1,1,1,10.0,2
